File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2012001_aid0552,ET_500m,aid0552,2012-01-01,852.0,569.8,1777.5,"(569.8,1777.5)",1143.550939,207.5217545,43065.2786024,1289.25,1631.5,1093.6,569.8,1001.4
MOD16A3GF_006_ET_500m_doy2013001_aid0552,ET_500m,aid0552,2013-01-01,852.0,671.4,1634.8,"(671.4,1634.8)",1154.0855634,176.3102116,31085.2907188,1270.125,1581.5,1120.05,734.8,1034.05
MOD16A3GF_006_ET_500m_doy2014001_aid0552,ET_500m,aid0552,2014-01-01,852.0,490.4,1544.0,"(490.4,1544.0)",1028.6360329,210.7864445,44430.9251688,1127.1,1481.5,979.1,555.7,889.175
MOD16A3GF_006_ET_500m_doy2015001_aid0552,ET_500m,aid0552,2015-01-01,852.0,599.0,1870.9,"(599.0,1870.9)",1189.1070423,187.1176088,35012.9995279,1327.075,1633.9,1160.15,691.8,1063.05
MOD16A3GF_006_ET_500m_doy2010001_aid0553,ET_500m,aid0553,2010-01-01,86.0,731.6,1415.5,"(731.6,1415.5)",1073.472093,186.212875,34675.2348026,1208.2,1415.5,1051.35,731.6,926.775
MOD16A3GF_006_ET_500m_doy2011001_aid0553,ET_500m,aid0553,2011-01-01,86.0,723.5,1422.4,"(723.5,1422.4)",1054.2337209,196.9247257,38779.3475838,1212.625,1422.4,1017.05,723.5,918.0
MOD16A3GF_006_ET_500m_doy2012001_aid0553,ET_500m,aid0553,2012-01-01,86.0,632.8,1471.8,"(632.8,1471.8)",1049.0162791,228.918421,52403.6434559,1180.325,1471.8,1009.6,632.8,882.35
MOD16A3GF_006_ET_500m_doy2013001_aid0553,ET_500m,aid0553,2013-01-01,86.0,728.6,1427.6,"(728.6,1427.6)",1096.8639535,187.1724531,35033.527189,1271.025,1427.6,1052.4,728.6,952.25
MOD16A3GF_006_ET_500m_doy2014001_aid0553,ET_500m,aid0553,2014-01-01,86.0,568.4,1482.3,"(568.4,1482.3)",993.1744186,243.9701417,59521.4300433,1125.025,1482.3,942.1,568.4,827.8
MOD16A3GF_006_ET_500m_doy2015001_aid0553,ET_500m,aid0553,2015-01-01,86.0,697.4,1442.9,"(697.4,1442.9)",1111.3232558,198.1288186,39255.0287615,1292.725,1442.9,1097.65,697.4,969.85
