"Data generated on Friday, April 14, 2023 at 1:51:01 PM EST"
Area/Partners of Origin,,,,,January - December
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Jan - Feb 2023,,
Partner,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Average (Value),Reporter Code,Partner Code,Product Code,
"Brazil","2101104060","CFE EXTRACT/Q60","0","0","0","0","0","0","0","0","0","0","2","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","US","BR","2101104060",
"Brazil","2101104080","CFG EXTRACT/OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","US","BR","2101104080",
"Brazil","2101109000","COF EXTRACT OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","US","BR","2101109000",
"Brazil","2101112126","INST COF,N/FLV,R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,779","2,430","4,782","4,241","619","356","1,609","3,252","552","1,376","922","1,467","1,511","1,855","2,128","1,813","1,912","2,244","523","1,395","1,798","20,341","7,356","16,838","17,899","24,976","36,497","7,885","3,802","US","BR","2101112126",
"Brazil","2101112129","INST COF,N/FLV,O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62,052","31,552","27,600","33,233","29,132","26,956","18,732","25,580","28,986","45,382","47,255","60,068","71,719","62,750","64,489","85,165","87,904","102,941","93,223","89,656","78,071","77,526","88,948","71,475","72,311","44,245","76,936","12,806","37,300","US","BR","2101112129",
"Brazil","2101112131","INST DECAF COFFE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,306","1,840","1,948","1,431","557","152","149","288","5","96","37","26","0","29","24","0","0","134","0","0","0","0","382","0","0","0","3","0","196","US","BR","2101112131",
"Brazil","2101112139","IN DECAF COF,OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","700","986","5,636","4,148","4,582","3,041","2,790","3,270","1,739","3,189","3,319","3,431","5,757","5,938","4,880","3,685","6,241","5,769","2,764","1,337","1,579","1,075","3,206","4,405","17,831","25,930","35,616","9,826","3,787","US","BR","2101112139",
"Brazil","2101112941","OTH COF EXTR RET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","267","31","0","0","109","104","167","243","0","0","0","0","0","2","0","0","0","0","0","11","30","65","30","66","28","26","US","BR","2101112941",
"Brazil","2101112949","OTH COF EXTR OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187","262","244","131","157","152","180","163","130","161","191","329","598","513","385","791","1,164","1,208","639","401","826","1,373","957","107","496","544","778","258","304","US","BR","2101112949",
"Brazil","2101123200","COF EXT NOTE 15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","92","0","0","0","0","27","0","0","0","0","0","0","0","3","US","BR","2101123200",
"Brazil","2101123800","COF EXT OTH NT4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","19","41","0","0","0","0","0","0","0","0","0","0","0","0","2","US","BR","2101123800",
"Brazil","2101124800","COF EXT>65% OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","25","1","US","BR","2101124800",
"Brazil","2101125400","COF EXT>10%NT8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","141","42","0","0","0","0","0","0","0","0","14","0","0","0","0","0","5","US","BR","2101125400",
"Brazil","2101125800","COF EXT>10%OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","119","0","0","0","6","0","0","0","0","0","0","0","0","0","0","3","US","BR","2101125800",
"Brazil","2101129000","COF EXTRACT OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","12","0","0","0","0","0","94","0","8","12","250","11","70","125","37","74","23","14","17","16","48","5","549","35","32","US","BR","2101129000",
"Grand Total","","","1,054,462","850,849","670,358","673,065","798,999","769,032","609,296","549,546","629,333","469,717","346,508","429,213","292,796","256,395","474,634","488,998","321,546","495,780","412,683","512,214","292,758","194,147","229,551","308,010","357,307","526,848","598,820","696,778","828,552","828,216","1,164,176","2,031,003","1,446,567","1,193,980","1,438,173","1,432,927","1,169,154","1,179,497","1,067,226","1,131,650","1,161,338","1,325,915","2,208,380","308,205","788,753",
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data<br>
2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items.<br>
3. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General."
"4. Product Group : FAS"
